时隙,任务类型,请求序列,请求到达量,空闲算力资源,等待服务队列,即时需求缺口,缓存调整量,资源缓存量,综合评价值,请求保障率,资源冗余率,下一时隙空闲算力资源,下一时隙等待服务队列,决策来源,相似案例编号
10,危险源态势研判,危化事故序列005,10.0,21.960161685943604,0.0,0.0,-0.3437677323818207,0.0,-0.11960161685943603,1.0,0.5446299465818204,11.960161685943604,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t35,train_13_0_危险源态势研判_危化事故序列005_t22,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,valid_12_0_灾害图像深度分析_台风灾情序列004_t44,train_0_0_受灾目标识别_洪涝巡检序列002_t9"
11,危险源态势研判,危化事故序列005,4.0,11.960161685943604,0.0,0.0,-0.2863290309906006,0.0,-0.07960161685943604,1.0,0.6655563607721898,7.9601616859436035,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t35,train_13_0_危险源态势研判_危化事故序列005_t22,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t9,valid_12_0_灾害图像深度分析_台风灾情序列004_t90"
12,危险源态势研判,危化事故序列005,4.0,7.9601616859436035,0.0,0.0,-0.4145781993865967,0.0,-0.039601616859436035,1.0,0.4974976441667796,3.9601616859436035,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t54,train_13_0_危险源态势研判_危化事故序列005_t10,valid_12_0_灾害图像深度分析_台风灾情序列004_t198,valid_0_0_结构化报告生成_山火监测序列003_t5,valid_0_0_受灾目标识别_洪涝巡检序列002_t166"
13,危险源态势研判,危化事故序列005,10.0,3.9601616859436035,0.0,6.0398383140563965,0.06211049482226372,18.46193727850914,-0.12422098964452744,1.0,0.5540114234687096,12.422098964452744,0.0,相似案例缓存预测回退,"train_13_0_危险源态势研判_危化事故序列005_t24,valid_13_0_危险源态势研判_危化事故序列005_t195,valid_12_0_灾害图像深度分析_台风灾情序列004_t198,valid_0_0_结构化报告生成_山火监测序列003_t5,valid_0_0_受灾目标识别_洪涝巡检序列002_t163"
14,危险源态势研判,危化事故序列005,6.0,12.422098964452744,0.0,0.0,-0.6505270004272461,0.0,-0.06422098964452744,1.0,0.5169898406726845,6.4220989644527435,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t55,train_13_0_危险源态势研判_危化事故序列005_t16,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,valid_0_0_受灾目标识别_洪涝巡检序列002_t155,valid_0_0_结构化报告生成_山火监测序列003_t5"
15,危险源态势研判,危化事故序列005,3.0,6.4220989644527435,0.0,0.0,-0.4517775774002075,0.0,-0.03422098964452744,1.0,0.5328630068447343,3.4220989644527435,0.0,相似案例缓存预测回退,"train_13_0_危险源态势研判_危化事故序列005_t16,valid_13_0_危险源态势研判_危化事故序列005_t36,valid_12_0_灾害图像深度分析_台风灾情序列004_t194,valid_0_0_受灾目标识别_洪涝巡检序列002_t167,valid_0_0_结构化报告生成_山火监测序列003_t5"
16,危险源态势研判,危化事故序列005,10.0,3.4220989644527435,0.0,6.5779010355472565,-0.11017319560050964,0.0,-0.1973370310664177,0.34220989644527433,0.0,0.0,6.5779010355472565,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t5,train_13_0_危险源态势研判_危化事故序列005_t24,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,valid_0_0_结构化报告生成_山火监测序列003_t5"
17,危险源态势研判,危化事故序列005,6.0,0.0,6.5779010355472565,12.577901035547256,-0.11659160256385803,0.0,-0.3773370310664177,0.0,0.0,0.0,12.577901035547256,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t41,train_13_0_危险源态势研判_危化事故序列005_t19,valid_12_0_灾害图像深度分析_台风灾情序列004_t194,valid_0_0_受灾目标识别_洪涝巡检序列002_t170,valid_0_0_结构化报告生成_山火监测序列003_t5"
18,危险源态势研判,危化事故序列005,6.0,0.0,12.577901035547256,18.577901035547256,0.18876908719539642,56.33171847462654,-0.37753817439079285,1.0,0.6702053205794656,37.753817439079285,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t22,train_13_0_危险源态势研判_危化事故序列005_t20,valid_12_0_灾害图像深度分析_台风灾情序列004_t194,valid_0_0_受灾目标识别_洪涝巡检序列002_t168,valid_0_0_结构化报告生成_山火监测序列003_t5"
19,危险源态势研判,危化事故序列005,5.0,37.753817439079285,0.0,0.0,-0.6174839735031128,0.0,-0.32753817439079286,1.0,0.8675630614554898,32.753817439079285,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t23,train_13_0_危险源态势研判_危化事故序列005_t21,valid_12_0_灾害图像深度分析_台风灾情序列004_t194,valid_0_0_受灾目标识别_洪涝巡检序列002_t167,valid_0_0_结构化报告生成_山火监测序列003_t5"
20,危险源态势研判,危化事故序列005,3.0,32.753817439079285,0.0,0.0,-0.14454208314418793,0.0,-0.29753817439079283,1.0,0.9084076228494625,29.753817439079285,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t35,train_13_0_危险源态势研判_危化事故序列005_t22,valid_0_0_受灾目标识别_洪涝巡检序列002_t9,train_0_0_受灾目标识别_洪涝巡检序列002_t8,valid_12_0_灾害图像深度分析_台风灾情序列004_t90"
21,危险源态势研判,危化事故序列005,3.0,29.753817439079285,0.0,0.0,-0.2818804383277893,0.0,-0.26753817439079286,1.0,0.899172601763035,26.753817439079285,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t34,train_13_0_危险源态势研判_危化事故序列005_t22,valid_12_0_灾害图像深度分析_台风灾情序列004_t92,train_0_0_受灾目标识别_洪涝巡检序列002_t9,valid_0_0_受灾目标识别_洪涝巡检序列002_t10"
22,危险源态势研判,危化事故序列005,6.0,26.753817439079285,0.0,0.0,-0.1395052969455719,0.0,-0.20753817439079283,1.0,0.7757329392838046,20.753817439079285,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t35,train_13_0_危险源态势研判_危化事故序列005_t22,valid_12_0_灾害图像深度分析_台风灾情序列004_t92,valid_0_0_受灾目标识别_洪涝巡检序列002_t9,train_0_0_受灾目标识别_洪涝巡检序列002_t8"
23,危险源态势研判,危化事故序列005,5.0,20.753817439079285,0.0,0.0,-0.17494997382164001,0.0,-0.15753817439079285,1.0,0.7590804672597227,15.753817439079285,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t35,train_13_0_危险源态势研判_危化事故序列005_t22,valid_12_0_灾害图像深度分析_台风灾情序列004_t91,valid_0_0_受灾目标识别_洪涝巡检序列002_t9,train_0_0_受灾目标识别_洪涝巡检序列002_t8"
24,危险源态势研判,危化事故序列005,5.0,15.753817439079285,0.0,0.0,-0.37839213013648987,0.0,-0.10753817439079284,1.0,0.6826166090006296,10.753817439079285,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t54,train_13_0_危险源态势研判_危化事故序列005_t10,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,valid_0_0_结构化报告生成_山火监测序列003_t5,valid_0_0_受灾目标识别_洪涝巡检序列002_t163"
25,危险源态势研判,危化事故序列005,9.0,10.753817439079285,0.0,0.0,-0.41969239711761475,0.0,-0.017538174390792846,1.0,0.1630878940445768,1.7538174390792847,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t54,train_13_0_危险源态势研判_危化事故序列005_t18,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,valid_0_0_结构化报告生成_山火监测序列003_t5,valid_0_0_受灾目标识别_洪涝巡检序列002_t163"
26,危险源态势研判,危化事故序列005,10.0,1.7538174390792847,0.0,8.246182560920715,-0.5017300248146057,0.0,-0.24738547682762146,0.17538174390792846,0.0,0.0,8.246182560920715,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t189,train_13_0_危险源态势研判_危化事故序列005_t19,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,valid_0_0_受灾目标识别_洪涝巡检序列002_t162,valid_0_0_结构化报告生成_山火监测序列003_t5"
27,危险源态势研判,危化事故序列005,8.0,0.0,8.246182560920715,16.246182560920715,-0.35355040431022644,0.0,-0.48738547682762146,0.0,0.0,0.0,16.246182560920715,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t21,train_13_0_危险源态势研判_危化事故序列005_t19,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,valid_0_0_受灾目标识别_洪涝巡检序列002_t163,valid_0_0_结构化报告生成_山火监测序列003_t5"
28,危险源态势研判,危化事故序列005,4.0,0.0,16.246182560920715,20.246182560920715,0.055672481656074524,31.38067889213562,-0.11134496331214905,1.0,0.3548201225820307,11.134496331214905,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t22,train_13_0_危险源态势研判_危化事故序列005_t20,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,valid_0_0_受灾目标识别_洪涝巡检序列002_t162,valid_0_0_结构化报告生成_山火监测序列003_t5"
29,危险源态势研判,危化事故序列005,7.0,11.134496331214905,0.0,0.0,-0.6151341199874878,0.0,-0.04134496331214905,1.0,0.37132315717093445,4.134496331214905,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t23,train_13_0_危险源态势研判_危化事故序列005_t16,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,valid_0_0_受灾目标识别_洪涝巡检序列002_t167,valid_0_0_结构化报告生成_山火监测序列003_t5"
30,危险源态势研判,危化事故序列005,6.0,4.134496331214905,0.0,1.8655036687850952,-0.058664169162511826,0.0,-0.055965110063552856,0.6890827218691508,0.0,0.0,1.8655036687850952,相似案例缓存预测回退,"train_13_0_危险源态势研判_危化事故序列005_t24,valid_13_0_危险源态势研判_危化事故序列005_t5,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,train_0_0_受灾目标识别_洪涝巡检序列002_t9"
31,危险源态势研判,危化事故序列005,11.0,0.0,1.8655036687850952,12.865503668785095,-0.13720370829105377,0.0,-0.38596511006355283,0.0,0.0,0.0,12.865503668785095,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t26,train_13_0_危险源态势研判_危化事故序列005_t19,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,valid_12_0_灾害图像深度分析_台风灾情序列004_t194,train_0_0_受灾目标识别_洪涝巡检序列002_t9"
32,危险源态势研判,危化事故序列005,10.0,0.0,12.865503668785095,22.865503668785095,0.06955694407224655,36.776892483234406,-0.1391138881444931,1.0,0.3782643903584605,13.91138881444931,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t194,train_13_0_危险源态势研判_危化事故序列005_t20,valid_12_0_灾害图像深度分析_台风灾情序列004_t194,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t9"
33,危险源态势研判,危化事故序列005,11.0,13.91138881444931,0.0,0.0,-0.441717267036438,0.0,-0.029113888144493102,1.0,0.2092809606058415,2.9113888144493103,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t39,train_13_0_危险源态势研判_危化事故序列005_t16,valid_12_0_灾害图像深度分析_台风灾情序列004_t194,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t9"
34,危险源态势研判,危化事故序列005,7.0,2.9113888144493103,0.0,4.08861118555069,-0.1255737543106079,0.0,-0.12265833556652068,0.4159126877784729,0.0,0.0,4.08861118555069,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t15,train_13_0_危险源态势研判_危化事故序列005_t19,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,train_0_0_受灾目标识别_洪涝巡检序列002_t9"
35,危险源态势研判,危化事故序列005,7.0,0.0,4.08861118555069,11.08861118555069,-0.03246445953845978,4.595719277858734,-0.19478675723075867,0.07244401318686348,0.0,0.0,6.492891907691956,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t41,train_13_0_危险源态势研判_危化事故序列005_t19,valid_12_0_灾害图像深度分析_台风灾情序列004_t194,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t9"
36,危险源态势研判,危化事故序列005,2.0,0.0,6.492891907691956,8.492891907691956,0.14808271825313568,38.10943555831909,-0.29616543650627136,1.0,0.7771446419169543,29.616543650627136,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t41,train_13_0_危险源态势研判_危化事故序列005_t20,valid_12_0_灾害图像深度分析_台风灾情序列004_t194,valid_0_0_受灾目标识别_洪涝巡检序列002_t170,train_0_0_受灾目标识别_洪涝巡检序列002_t9"
37,危险源态势研判,危化事故序列005,7.0,29.616543650627136,0.0,0.0,-0.36525633931159973,0.0,-0.22616543650627136,1.0,0.7636456136618841,22.616543650627136,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t24,train_13_0_危险源态势研判_危化事故序列005_t16,valid_0_0_受灾目标识别_洪涝巡检序列002_t75,valid_12_0_灾害图像深度分析_台风灾情序列004_t194,train_0_0_受灾目标识别_洪涝巡检序列002_t11"
38,危险源态势研判,危化事故序列005,14.0,22.616543650627136,0.0,0.0,-0.27452149987220764,0.0,-0.08616543650627136,1.0,0.3809841054288685,8.616543650627136,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t24,train_13_0_危险源态势研判_危化事故序列005_t16,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t10,valid_12_0_灾害图像深度分析_台风灾情序列004_t7"
39,危险源态势研判,危化事故序列005,4.0,8.616543650627136,0.0,0.0,-0.2774982154369354,0.0,-0.04616543650627136,1.0,0.5357767380765408,4.616543650627136,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t24,train_13_0_危险源态势研判_危化事故序列005_t16,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t8,valid_12_0_灾害图像深度分析_台风灾情序列004_t6"
40,危险源态势研判,危化事故序列005,3.0,4.616543650627136,0.0,0.0,-0.27978745102882385,0.0,-0.016165436506271363,1.0,0.35016318981572636,1.6165436506271362,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t24,train_13_0_危险源态势研判_危化事故序列005_t16,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t10,valid_12_0_灾害图像深度分析_台风灾情序列004_t7"
41,危险源态势研判,危化事故序列005,9.0,1.6165436506271362,0.0,7.383456349372864,-0.09180732071399689,0.0,-0.2215036904811859,0.17961596118079293,0.0,0.0,7.383456349372864,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t26,train_13_0_危险源态势研判_危化事故序列005_t19,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,valid_12_0_灾害图像深度分析_台风灾情序列004_t39,train_0_0_受灾目标识别_洪涝巡检序列002_t11"
42,危险源态势研判,危化事故序列005,5.0,0.0,7.383456349372864,12.383456349372864,-0.3560028076171875,0.0,-0.3715036904811859,0.0,0.0,0.0,12.383456349372864,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t21,train_13_0_危险源态势研判_危化事故序列005_t19,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,valid_0_0_结构化报告生成_山火监测序列003_t5,valid_0_0_受灾目标识别_洪涝巡检序列002_t163"
43,危险源态势研判,危化事故序列005,3.0,0.0,12.383456349372864,15.383456349372864,0.1800069510936737,51.384846568107605,-0.3600139021873474,1.0,0.7006227053926688,36.00139021873474,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t22,train_13_0_危险源态势研判_危化事故序列005_t20,valid_12_0_灾害图像深度分析_台风灾情序列004_t198,valid_0_0_受灾目标识别_洪涝巡检序列002_t12,valid_0_0_结构化报告生成_山火监测序列003_t5"
44,危险源态势研判,危化事故序列005,4.0,36.00139021873474,0.0,0.0,-0.6176519989967346,0.0,-0.32001390218734743,1.0,0.8888931795217607,32.00139021873474,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t23,train_13_0_危险源态势研判_危化事故序列005_t21,valid_12_0_灾害图像深度分析_台风灾情序列004_t194,valid_0_0_受灾目标识别_洪涝巡检序列002_t167,valid_0_0_结构化报告生成_山火监测序列003_t5"
45,危险源态势研判,危化事故序列005,8.0,32.00139021873474,0.0,0.0,-0.29156267642974854,0.0,-0.24001390218734742,1.0,0.7500108606120331,24.00139021873474,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t34,train_13_0_危险源态势研判_危化事故序列005_t22,valid_0_0_受灾目标识别_洪涝巡检序列002_t9,valid_12_0_灾害图像深度分析_台风灾情序列004_t46,train_0_0_受灾目标识别_洪涝巡检序列002_t8"
46,危险源态势研判,危化事故序列005,7.0,24.00139021873474,0.0,0.0,-0.3185533285140991,0.0,-0.1700139021873474,1.0,0.7083502273740786,17.00139021873474,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t35,train_13_0_危险源态势研判_危化事故序列005_t22,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t8,valid_12_0_灾害图像深度分析_台风灾情序列004_t46"
47,危险源态势研判,危化事故序列005,13.0,17.00139021873474,0.0,0.0,-0.1906561255455017,0.0,-0.04001390218734741,1.0,0.23535664832428793,4.001390218734741,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t35,train_13_0_危险源态势研判_危化事故序列005_t23,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t8,valid_12_0_灾害图像深度分析_台风灾情序列004_t44"
48,危险源态势研判,危化事故序列005,8.0,4.001390218734741,0.0,3.998609781265259,-0.015971630811691284,0.804283618927002,-0.0958297848701477,0.6007092297077179,0.0,0.0,3.194326162338257,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t7,train_13_0_危险源态势研判_危化事故序列005_t19,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t8,valid_12_0_灾害图像深度分析_台风灾情序列004_t6"
49,危险源态势研判,危化事故序列005,6.0,0.0,3.194326162338257,9.194326162338257,-0.35265254974365234,0.0,-0.2758297848701477,0.0,0.0,0.0,9.194326162338257,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t21,train_13_0_危险源态势研判_危化事故序列005_t19,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,valid_0_0_受灾目标识别_洪涝巡检序列002_t163,valid_0_0_结构化报告生成_山火监测序列003_t5"
50,危险源态势研判,危化事故序列005,10.0,0.0,9.194326162338257,19.194326162338257,-0.31154531240463257,0.0,-0.5758297848701477,0.0,0.0,0.0,19.194326162338257,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t21,train_13_0_危险源态势研判_危化事故序列005_t19,valid_12_0_灾害图像深度分析_台风灾情序列004_t198,valid_0_0_受灾目标识别_洪涝巡检序列002_t163,valid_0_0_结构化报告生成_山火监测序列003_t5"
51,危险源态势研判,危化事故序列005,5.0,0.0,19.194326162338257,24.194326162338257,0.05718535929918289,35.631398022174835,-0.11437071859836578,1.0,0.32098296712126856,11.437071859836578,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t22,train_13_0_危险源态势研判_危化事故序列005_t20,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,valid_0_0_受灾目标识别_洪涝巡检序列002_t162,valid_0_0_结构化报告生成_山火监测序列003_t5"
52,危险源态势研判,危化事故序列005,6.0,11.437071859836578,0.0,0.0,-0.33319753408432007,0.0,-0.054370718598365786,1.0,0.47539019833650564,5.437071859836578,0.0,相似案例缓存预测回退,"train_13_0_危险源态势研判_危化事故序列005_t24,valid_13_0_危险源态势研判_危化事故序列005_t182,valid_12_0_灾害图像深度分析_台风灾情序列004_t198,valid_0_0_受灾目标识别_洪涝巡检序列002_t167,valid_0_0_结构化报告生成_山火监测序列003_t5"
53,危险源态势研判,危化事故序列005,8.0,5.437071859836578,0.0,2.5629281401634216,-0.034956976771354675,0.0,-0.07688784420490265,0.6796339824795723,0.0,0.0,2.5629281401634216,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t5,train_13_0_危险源态势研判_危化事故序列005_t24,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t9,valid_12_0_灾害图像深度分析_台风灾情序列004_t194"
54,危险源态势研判,危化事故序列005,8.0,0.0,2.5629281401634216,10.562928140163422,0.12349941581487656,35.26281130313873,-0.2469988316297531,1.0,0.7004513324431618,24.69988316297531,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t5,train_13_0_危险源态势研判_危化事故序列005_t20,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t9,valid_12_0_灾害图像深度分析_台风灾情序列004_t194"
55,危险源态势研判,危化事故序列005,12.0,24.69988316297531,0.0,0.0,-0.41851839423179626,0.0,-0.12699883162975312,1.0,0.5141677423807499,12.699883162975311,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t24,train_13_0_危险源态势研判_危化事故序列005_t16,valid_12_0_灾害图像深度分析_台风灾情序列004_t194,valid_0_0_受灾目标识别_洪涝巡检序列002_t170,train_0_0_受灾目标识别_洪涝巡检序列002_t9"
56,危险源态势研判,危化事故序列005,13.0,12.699883162975311,0.0,0.3001168370246887,0.016084805130958557,3.5170778632164,-0.032169610261917114,1.0,0.1983701521509522,3.2169610261917114,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t7,train_13_0_危险源态势研判_危化事故序列005_t23,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t8,valid_12_0_灾害图像深度分析_台风灾情序列004_t44"
57,危险源态势研判,危化事故序列005,16.0,3.2169610261917114,0.0,12.783038973808289,-0.1776370406150818,0.0,-0.38349116921424864,0.20106006413698196,0.0,0.0,12.783038973808289,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t26,train_13_0_危险源态势研判_危化事故序列005_t19,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,valid_12_0_灾害图像深度分析_台风灾情序列004_t195,train_0_0_受灾目标识别_洪涝巡检序列002_t9"
